run_time,dataset,od,is_valid,size_lhs,size_rhs,mean_time,min_time,quart25_time,median_time,quart75_time,max_time
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,1↓,2↓] -> [0↓,3↑,1↓]",False,3,3,00:00:00.0000032,00:00:00.0000019,00:00:00.0000025,00:00:00.0000027,00:00:00.0000029,00:00:00.0004231
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[3↑,0↓] -> [3↑,0↓,1↓]",True,2,3,00:00:00.0000019,00:00:00.0000011,00:00:00.0000015,00:00:00.0000017,00:00:00.0000019,00:00:00.0000803
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,2↓] -> [0↓,1↓,3↓,2↓]",False,2,4,00:00:00.0000017,00:00:00.0000011,00:00:00.0000014,00:00:00.0000017,00:00:00.0000019,00:00:00.0000162
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,3↓] -> [0↓,1↑]",False,2,2,00:00:00.0000017,00:00:00.0000011,00:00:00.0000014,00:00:00.0000017,00:00:00.0000019,00:00:00.0000862
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,1↓,3↓,2↑] -> [0↓,1↑,2↑]",True,4,3,00:00:00.0000029,00:00:00.0000018,00:00:00.0000023,00:00:00.0000025,00:00:00.0000027,00:00:00.0001330
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,1↓] -> [0↓,2↓,3↓,1↑]",True,2,4,00:00:00.0000017,00:00:00.0000012,00:00:00.0000014,00:00:00.0000017,00:00:00.0000019,00:00:00.0000543
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[2↑,0↑,1↓,3↓] -> [2↑,0↑,3↑,1↑]",False,4,4,00:00:00.0000044,00:00:00.0000030,00:00:00.0000036,00:00:00.0000038,00:00:00.0000042,00:00:00.0002679
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,3↓] -> [0↑,3↑,2↑,1↓]",False,2,4,00:00:00.0000017,00:00:00.0000011,00:00:00.0000014,00:00:00.0000016,00:00:00.0000018,00:00:00.0000147
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[3↑,0↓] -> [3↑,0↓,1↑,2↓]",False,2,4,00:00:00.0000024,00:00:00.0000016,00:00:00.0000020,00:00:00.0000022,00:00:00.0000024,00:00:00.0001298
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,2↓] -> [0↑,3↑,1↓]",False,2,3,00:00:00.0000018,00:00:00.0000010,00:00:00.0000014,00:00:00.0000016,00:00:00.0000019,00:00:00.0000570
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,1↓,2↓] -> [0↓,3↑,1↓]",True,3,3,00:00:00.0000028,00:00:00.0000019,00:00:00.0000025,00:00:00.0000027,00:00:00.0000029,00:00:00.0000156
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,2↓] -> [0↑,3↑,1↓]",True,2,3,00:00:00.0000018,00:00:00.0000010,00:00:00.0000014,00:00:00.0000016,00:00:00.0000019,00:00:00.0000812
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,2↑] -> [0↓,1↓,3↓]",True,2,3,00:00:00.0000017,00:00:00.0000011,00:00:00.0000014,00:00:00.0000017,00:00:00.0000018,00:00:00.0000133
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,2↑,1↓] -> [0↓,1↑,3↓,2↓]",True,3,4,00:00:00.0000031,00:00:00.0000021,00:00:00.0000026,00:00:00.0000028,00:00:00.0000030,00:00:00.0001206
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑,1↑] -> [0↑,1↑,2↓]",True,2,3,00:00:00.0000017,00:00:00.0000011,00:00:00.0000014,00:00:00.0000017,00:00:00.0000019,00:00:00.0000152
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↓,1↓] -> [0↓,1↓,3↓]",True,2,3,00:00:00.0000018,00:00:00.0000011,00:00:00.0000014,00:00:00.0000017,00:00:00.0000019,00:00:00.0000339
2024-02-07T10:51:05.3689014Z,"baseball/teamsfranchises.csv","[0↑] -> [0↑,3↑,1↓]",False,1,3,00:00:00.0000012,00:00:00.0000007,00:00:00.0000009,00:00:00.0000010,00:00:00.0000013,00:00:00.0000564
